,bedrooms,waterfront,view,condition,grade,sqft_above,sqft_basement,zipcode,price,bat_bed,sqft_floors
0,3,0,0,3,7,1180,0,98178,221900,0.3333333333333333,1180.0
1,3,0,0,3,7,2170,400,98125,538000,0.6666666666666666,1085.0
2,2,0,0,3,6,770,0,98028,180000,0.5,770.0
3,4,0,0,5,7,1050,910,98136,604000,0.75,1050.0
4,3,0,0,3,8,1680,0,98074,510000,0.6666666666666666,1680.0
6,3,0,0,3,7,1715,0,98003,257500,0.6666666666666666,857.5
7,3,0,0,3,7,1060,0,98198,291850,0.6666666666666666,1060.0
8,3,0,0,3,7,1050,730,98146,229500,0.3333333333333333,1050.0
9,3,0,0,3,7,1890,0,98038,323000,0.6666666666666666,945.0
10,3,0,0,3,8,1860,1700,98007,662500,0.6666666666666666,1860.0
11,2,0,0,4,7,860,300,98115,468000,0.5,860.0
12,3,0,0,4,7,1430,0,98028,310000,0.3333333333333333,715.0
13,3,0,0,4,7,1370,0,98074,400000,0.6666666666666666,1370.0
14,5,0,0,3,7,1810,0,98107,530000,0.4,905.0
15,4,0,3,3,9,1980,970,98126,650000,0.75,990.0
16,3,0,0,3,7,1890,0,98019,395000,0.6666666666666666,945.0
17,4,0,0,4,7,1600,0,98103,485000,0.25,800.0
18,2,0,0,4,7,1200,0,98002,189000,0.5,1200.0
19,3,0,0,4,7,1250,0,98003,230000,0.3333333333333333,1250.0
20,4,0,0,4,7,860,760,98133,385000,0.5,860.0
22,5,0,0,3,8,2270,0,98092,285000,0.4,1135.0
23,2,0,0,3,7,1070,0,98030,252700,1.0,1070.0
24,3,0,0,4,8,2450,0,98030,329000,0.6666666666666666,1225.0
25,3,0,0,5,6,1710,0,98002,233000,0.6666666666666666,855.0
26,3,0,0,3,8,1750,700,98119,937000,0.6666666666666666,875.0
27,3,0,0,5,8,1400,0,98112,667000,0.3333333333333333,700.0
28,3,0,0,3,7,790,730,98115,438000,0.6666666666666666,790.0
29,4,0,0,3,8,2570,0,98052,719000,0.5,1285.0
30,3,0,0,3,8,2320,0,98027,580500,0.6666666666666666,1160.0
31,2,0,0,3,7,1190,0,98133,280000,1.0,396.6666666666667
32,4,0,0,4,7,1510,820,98117,687500,0.5,755.0
33,3,0,0,4,8,1090,0,98117,535000,0.3333333333333333,545.0
34,4,0,0,3,7,1280,780,98058,322500,0.75,1280.0
35,3,0,0,3,8,1510,790,98115,696000,0.6666666666666666,755.0
36,4,0,0,4,8,2360,0,98107,640000,0.5,1180.0
37,4,0,0,2,7,890,330,98001,240000,0.25,890.0
38,4,0,0,3,8,2620,0,98056,605000,0.5,1310.0
39,4,0,0,3,9,2570,0,98074,625000,0.5,1285.0
40,4,0,0,3,8,2600,1620,98166,775000,0.5,2600.0
41,5,0,0,3,9,3595,0,98053,861990,0.6,1797.5
42,3,0,0,3,7,1570,0,98119,685000,0.3333333333333333,785.0
43,3,0,0,4,6,920,360,98058,309000,0.3333333333333333,920.0
44,3,0,0,3,8,3160,0,98019,488000,0.6666666666666666,1580.0
45,3,0,0,3,6,990,0,98023,210490,0.3333333333333333,990.0
46,4,0,0,4,9,2290,0,98007,785000,0.5,1145.0
47,3,0,0,4,7,1250,0,98115,450000,0.6666666666666666,1250.0
49,3,0,0,3,7,1190,0,98148,228000,0.3333333333333333,1190.0
50,5,0,0,4,8,1640,1510,98056,345000,0.4,1640.0
51,3,0,0,4,7,1000,410,98117,600000,0.6666666666666666,1000.0
52,2,0,0,3,7,990,990,98117,585000,1.0,990.0
53,5,0,0,3,8,2130,600,98105,920000,0.4,1065.0
54,4,0,0,3,9,2830,0,98105,885000,0.5,1415.0
55,4,0,0,3,7,2250,0,98042,292500,0.5,1125.0
56,3,0,0,3,8,2420,0,98042,301000,0.6666666666666666,1210.0
57,5,0,4,4,8,3250,0,98008,951000,0.6,1625.0
58,4,0,0,3,8,1850,0,98059,430000,0.75,925.0
59,3,0,3,4,8,1590,560,98166,650000,0.6666666666666666,1590.0
60,3,0,0,3,7,1260,0,98148,289000,0.6666666666666666,1260.0
61,3,0,0,5,8,2519,0,98166,505000,0.6666666666666666,1259.5
62,3,0,0,3,8,1540,0,98115,549000,0.6666666666666666,513.3333333333334
63,3,0,0,3,7,1110,550,98122,425000,0.6666666666666666,1110.0
64,3,0,0,5,7,1770,1000,98144,317625,1.0,885.0
65,4,0,0,3,10,2720,0,98004,975000,0.5,1360.0
66,4,0,0,3,7,2240,0,98001,287000,0.5,1120.0
67,3,0,0,4,7,1000,0,98042,204000,0.3333333333333333,1000.0
69,5,0,0,4,11,3070,1700,98005,1040000,0.6,3070.0
70,3,0,0,4,7,1260,0,98034,325000,0.6666666666666666,1260.0
71,4,0,0,5,7,2250,500,98125,571000,0.5,1125.0
72,4,0,0,3,8,2380,0,98038,360000,0.5,1190.0
73,3,0,0,5,7,1090,700,98042,349000,0.6666666666666666,1090.0
74,4,0,0,4,10,2390,1040,98075,832500,1.0,1195.0
75,4,0,0,3,7,880,880,98008,380000,0.5,880.0
76,3,0,0,3,7,1040,0,98116,480000,0.3333333333333333,1040.0
77,3,0,0,4,7,910,500,98133,410000,0.3333333333333333,910.0
78,4,0,0,3,10,3450,0,98010,720000,0.5,1725.0
79,3,0,0,3,8,2350,0,98038,390000,0.6666666666666666,1175.0
80,4,0,0,3,7,1900,0,98038,360000,0.5,950.0
81,2,0,0,3,7,1010,1010,98118,355000,0.5,1010.0
82,3,0,0,3,8,1680,0,98059,356000,0.6666666666666666,1680.0
83,3,0,0,3,6,960,0,98125,315000,0.3333333333333333,960.0
84,3,0,0,3,9,1900,240,98119,940000,0.6666666666666666,950.0
85,5,0,0,5,7,2660,0,98092,305000,0.4,1330.0
86,3,0,0,3,9,1980,790,98056,461000,1.0,990.0
87,2,0,0,4,7,1610,0,98056,215000,1.0,805.0
88,2,0,0,3,7,765,265,98136,335000,1.0,382.5
89,4,0,0,3,7,1980,0,98023,243500,0.5,990.0
90,5,0,0,4,10,3520,0,98199,1100000,0.6,1760.0
91,3,0,0,3,7,1200,0,98023,153000,0.3333333333333333,1200.0
92,3,0,0,3,8,1290,290,98117,430000,0.6666666666666666,1290.0
93,3,0,0,3,8,1290,290,98117,700000,0.6666666666666666,1290.0
94,4,0,0,3,7,2390,910,98040,905000,0.5,2390.0
95,3,0,0,3,7,1960,0,98032,247500,0.6666666666666666,1960.0
96,4,0,0,4,7,1160,0,98023,199000,0.5,1160.0
97,3,0,0,5,7,1210,600,98038,314000,0.6666666666666666,1210.0
98,3,0,2,3,9,2320,0,98045,437500,0.6666666666666666,1160.0
99,3,0,0,5,9,1270,800,98102,850830,0.6666666666666666,635.0
100,3,0,0,4,7,1440,540,98117,555000,0.6666666666666666,720.0
101,3,0,0,4,8,2190,0,98077,699950,0.6666666666666666,1095.0
102,3,0,0,3,8,2920,0,98004,1090000,0.6666666666666666,1460.0
103,3,0,0,3,7,1210,0,98058,290000,0.3333333333333333,1210.0
104,3,0,0,4,8,1460,880,98058,375000,0.6666666666666666,1460.0
105,3,0,0,4,7,1170,500,98117,460000,0.3333333333333333,585.0
106,2,0,0,4,8,1240,0,98198,188500,1.0,1240.0
107,4,0,0,4,10,3140,0,98077,680000,0.5,1570.0
108,5,0,0,4,7,2030,0,98052,470000,0.4,1015.0
109,4,0,0,3,8,2310,0,98027,597750,0.5,1155.0
110,3,0,0,5,6,700,560,98103,570000,0.6666666666666666,700.0
111,3,0,0,4,7,1160,380,98038,272500,0.6666666666666666,1160.0
112,3,0,2,3,7,1080,1000,98108,329950,0.6666666666666666,1080.0
113,4,0,3,3,9,2520,710,98001,480000,0.5,1260.0
114,3,0,0,3,8,2780,1600,98117,740500,1.3333333333333333,1390.0
115,3,0,0,3,8,1590,0,98103,518500,1.3333333333333333,530.0
116,2,0,0,4,6,880,0,98178,205425,0.5,880.0
117,4,0,0,3,6,1570,0,98168,171800,0.5,1570.0
118,4,0,0,4,7,1610,0,98144,535000,0.25,805.0
119,3,0,2,3,8,1560,840,98177,660000,0.6666666666666666,1560.0
120,3,0,0,3,7,1450,0,98034,391500,0.6666666666666666,1450.0
121,2,0,0,3,6,770,0,98117,395000,0.5,770.0
122,4,0,0,5,7,1720,380,98118,445000,0.5,860.0
123,3,0,0,3,9,2910,0,98052,770000,0.6666666666666666,1455.0
125,3,0,2,3,8,1620,480,98178,445000,0.6666666666666666,1620.0
126,4,0,0,3,8,1360,800,98023,260000,0.5,1360.0
127,5,0,0,5,7,1720,600,98103,822500,0.8,860.0
128,4,0,0,3,7,2070,0,98065,430000,0.5,1035.0
129,3,0,0,4,7,1060,0,98092,212000,0.6666666666666666,1060.0
130,4,0,0,3,8,1440,570,98027,660500,0.5,1440.0
131,3,0,0,3,9,2460,1490,98052,784000,1.3333333333333333,1230.0
132,3,0,0,3,8,1390,620,98029,453246,0.6666666666666666,695.0
133,4,0,0,3,9,2140,0,98107,675000,1.0,713.3333333333334
134,3,0,0,4,7,1320,0,98003,199000,0.6666666666666666,1320.0
